inventoryid,inventoryname,numberofitems,location,createdby,lastupdatedby,country,company
12,wifi,97,Michigan,vodeegang,vodeegang,China,Yodoo
22,wifi,75,Michigan,mlantiffe1h,mlantiffe1h,United Arab Emirates,Oba
25,wifi,58,Indiana,boneligan1o,boneligan1o,Colombia,Geba
49,wifi,94,Hawaii,pdoddrell4p,pdoddrell4p,Belarus,Oyoyo
55,wifi,12,Minnesota,emoncey5q,emoncey5q,Guatemala,Fivespan
60,wifi,58,Massachusetts,iscritch6c,iscritch6c,Saudi Arabia,Devpoint
63,wifi,72,Maryland,cbrockie6q,cbrockie6q,Turkmenistan,Voonder
70,wifi,33,California,vwillard7q,vwillard7q,Iran,Mita
71,wifi,72,California,mhaggerwood80,mhaggerwood80,Cuba,Buzzster
72,wifi,51,Arizona,cvarcoe83,cvarcoe83,Bulgaria,Voomm
83,wifi,65,Texas,thoulstonak,thoulstonak,Tunisia,Quinu
85,wifi,83,District of Columbia,lseivwrightay,lseivwrightay,Denmark,Janyx
90,wifi,56,Michigan,rlowniecf,rlowniecf,Somalia,Eimbee
5,speaker,87,Texas,rsparway4,rsparway4,Brazil,Quamba
11,speaker,61,Iowa,lnovillf,lnovillf,United States,Divanoodle
30,speaker,14,Massachusetts,dglen24,dglen24,Yemen,Kamba
33,speaker,82,Texas,ttrownson2d,ttrownson2d,Afghanistan,Tagpad
46,speaker,37,New Jersey,jfiney3w,jfiney3w,Botswana,Flashset
50,speaker,66,Michigan,nwestcott4v,nwestcott4v,Switzerland,Yozio
58,speaker,9,Texas,bkeeves62,bkeeves62,Cape Verde,Thoughtbeat
66,speaker,78,Wisconsin,dfarres71,dfarres71,Mayotte,Blogtags
76,speaker,60,Arkansas,lslainey99,lslainey99,Jamaica,Gabcube
79,speaker,38,Michigan,ttroutbeckad,ttroutbeckad,Chile,Realbuzz
89,speaker,66,Alabama,cdenormanvillecd,cdenormanvillecd,Zambia,Meembee
105,speaker,78,Florida,rparkhousejp,rparkhousejp,Iceland,Digitube
111,speaker,41,Oregon,aberryn7,aberryn7,Ecuador,Zoomcast
1,screen,94,Oklahoma,wsurpliss0,wsurpliss0,Indonesia,Riffpath
14,screen,65,Florida,ctincknelln,ctincknelln,Nepal,Twitterbeat
39,screen,73,Massachusetts,rpaxeford2x,rpaxeford2x,Libya,Eazzy
47,screen,36,Nevada,erolinson4h,erolinson4h,Finland,Jaxbean
48,screen,90,Virginia,odunton4n,odunton4n,Uganda,Vinder
77,screen,75,Louisiana,bwimpey9l,bwimpey9l,Norway,Feednation
84,screen,97,Florida,cbennettoao,cbennettoao,Democratic Republic of the Congo,Skalith
96,screen,66,Arizona,aworsfieldfx,aworsfieldfx,Costa Rica,Devshare
98,screen,82,Kentucky,pkubangv,pkubangv,Morocco,Jamia
102,screen,86,Texas,onicklenis,onicklenis,Netherlands,Devify
115,screen,44,West Virginia,mcockarillpw,mcockarillpw,Comoros,Abatz
16,pen,97,Pennsylvania,bsoreyr,bsoreyr,Albania,Zoozzy
17,pen,71,Pennsylvania,wdurwards,wdurwards,Italy,Flipbug
18,pen,88,Pennsylvania,ekincadez,ekincadez,Pakistan,Zoovu
26,pen,52,Florida,kbridgen1p,kbridgen1p,Peru,Ainyx
29,pen,33,Florida,ischroeder1y,ischroeder1y,Spain,DabZ
35,pen,72,Hawaii,nklaggeman2g,nklaggeman2g,Mauritius,Agivu
61,pen,97,Michigan,chollerin6m,chollerin6m,Chad,Flipstorm
65,pen,71,Colorado,bvonderempten6v,bvonderempten6v,Azerbaijan,Dynabox
104,pen,73,Montana,sfishbournejm,sfishbournejm,Eritrea,Mybuzz
113,pen,38,New Jersey,sengallo2,sengallo2,Palestinian Territory,Roombo
19,paper,90,California,ngartery16,ngartery16,Philippines,Blognation
54,paper,100,New York,jdows5m,jdows5m,Malaysia,Vipe
73,paper,66,Arizona,vhabbon87,vhabbon87,Mexico,Centidel
78,paper,6,Texas,hyakunin9t,hyakunin9t,Swaziland,Twitterlist
80,paper,30,Michigan,edashperae,edashperae,New Zealand,Yabox
94,paper,24,Arizona,jjiraeb,jjiraeb,Macedonia,Minyx
100,paper,40,Minnesota,lbettisonhs,lbettisonhs,Uruguay,Jabbersphere
10,mouse,61,New York,mgimblettc,mgimblettc,Sierra Leone,Kaymbo
24,mouse,9,Pennsylvania,dpimley1n,dpimley1n,Dominican Republic,Thoughtblab
37,mouse,52,Florida,edufton2k,edufton2k,Tajikistan,Edgeblab
42,mouse,52,Florida,aklain39,aklain39,Nigeria,Aimbo
51,mouse,96,Ohio,tcolman52,tcolman52,Tanzania,Kwinu
52,mouse,20,Ohio,ddecruze5f,ddecruze5f,Japan,Jabberstorm
67,mouse,27,Texas,mfitt72,mfitt72,Latvia,Jetpulse
75,mouse,59,Connecticut,braraty8i,braraty8i,Egypt,Cogidoo
97,mouse,57,Pennsylvania,dwattingge,dwattingge,Paraguay,Feedmix
112,mouse,67,West Virginia,lmchalenm,lmchalenm,Kenya,Quire
114,mouse,39,Nebraska,lioannidiso4,lioannidiso4,Iraq,Buzzbean
2,monitor,99,New Jersey,sellick1,sellick1,Russia,Gigazoom
4,monitor,11,California,zalberts3,zalberts3,Myanmar,Vinte
44,monitor,17,Colorado,lriall3q,lriall3q,Barbados,Browsezoom
68,monitor,18,Florida,ssapena76,ssapena76,Lithuania,Realmix
74,monitor,21,Pennsylvania,ctidridge89,ctidridge89,Venezuela,Skaboo
99,monitor,88,Florida,rveneurh9,rveneurh9,Hungary,Yadel
6,laptop,69,Texas,dmetrick6,dmetrick6,Vietnam,Wikivu
23,laptop,42,Pennsylvania,dfigger1k,dfigger1k,Sweden,Browsebug
31,laptop,73,Wisconsin,asibly29,asibly29,South Africa,Bubblemix
34,laptop,16,New Hampshire,reliyahu2e,reliyahu2e,Czech Republic,Twitternation
38,laptop,32,Pennsylvania,aashley2o,aashley2o,Germany,Twinte
43,laptop,11,Iowa,lferrers3c,lferrers3c,Kosovo,Zoomzone
59,laptop,45,District of Columbia,agoulding63,agoulding63,Mali,Yoveo
81,laptop,17,Alaska,kheliotag,kheliotag,Ireland,Mudo
88,laptop,31,Ohio,istanluckcc,istanluckcc,United Kingdom,Katz
91,laptop,36,North Carolina,erussoncg,erussoncg,Syria,Brainverse
101,laptop,81,California,aaudenisia,aaudenisia,Luxembourg,Dabtype
108,laptop,79,Colorado,fmorgonm5,fmorgonm5,Tokelau,Livepath
117,laptop,100,California,rsterzakerr9,rsterzakerr9,South Sudan,Babbleblab
3,hdmi,32,Pennsylvania,gmellenby2,gmellenby2,South Korea,Eare
7,hdmi,78,Texas,bparsonson7,bparsonson7,Croatia,Photofeed
9,hdmi,32,Michigan,wpanichellia,wpanichellia,Canada,Topicblab
28,hdmi,72,Tennessee,bshann1t,bshann1t,Ethiopia,Ailane
32,hdmi,24,Florida,ascutter2b,ascutter2b,Jordan,Twitterwire
36,hdmi,76,District of Columbia,bbalding2h,bbalding2h,France,Photolist
41,hdmi,25,Texas,aprium38,aprium38,Portugal,Midel
53,hdmi,24,Colorado,clivingstone5k,clivingstone5k,Saint Barthelemy,Kwimbee
57,hdmi,84,Ohio,itenny5y,itenny5y,Honduras,Yakijo
106,hdmi,47,Washington,ztomczykowskikw,ztomczykowskikw,Mauritania,Demizz
110,hdmi,42,Oklahoma,hhartlymh,hhartlymh,Georgia,Innojam
13,harddisk,24,Texas,ssloanei,ssloanei,Poland,Tambee
20,harddisk,89,District of Columbia,ekubasiewicz19,ekubasiewicz19,Argentina,Gigabox
27,harddisk,21,Louisiana,bdargue1r,bdargue1r,Slovenia,Jayo
45,harddisk,49,New York,epeplow3t,epeplow3t,Zimbabwe,Twimm
82,harddisk,13,Michigan,lshemwellaj,lshemwellaj,Cambodia,Skynoodle
87,harddisk,96,California,jmaroc0,jmaroc0,Papua New Guinea,Mydeo
92,harddisk,7,California,lgodlipdr,lgodlipdr,Bosnia and Herzegovina,Mydo
93,harddisk,52,District of Columbia,msilcoxdv,msilcoxdv,Kazakhstan,Aivee
109,harddisk,40,New York,mschoenfischmc,mschoenfischmc,Central African Republic,Eamia
116,harddisk,52,Pennsylvania,khaliburnq0,khaliburnq0,Estonia,Meevee
8,cpu,92,Alaska,rblasing8,rblasing8,Ukraine,Eayo
15,cpu,76,Virginia,kpechao,kpechao,Greece,Voonix
21,cpu,15,Oklahoma,mmatisse1g,mmatisse1g,Thailand,Wordtune
40,cpu,30,California,ncalbaithe33,ncalbaithe33,Haiti,Linktype
56,cpu,95,California,bfrissell5w,bfrissell5w,North Korea,Yodel
62,cpu,39,Florida,pdovey6o,pdovey6o,Kiribati,Yamia
64,cpu,44,Missouri,cesche6t,cesche6t,Namibia,Rooxo
69,cpu,6,Ohio,itroy7k,itroy7k,Mongolia,Meejo
86,cpu,85,South Carolina,jstickneybt,jstickneybt,Turks and Caicos Islands,Shufflester
95,cpu,21,Washington,afindleyeo,afindleyeo,Cook Islands,Zoonoodle
103,cpu,27,Texas,cmansbridgeje,cmansbridgeje,Bolivia,Eadel
